,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Einstandspreis,smaller_6_3
0,2021-10-01,14731426,5.9985,6.100833333333334,5.886678571428571,6.379,smaller
1,2021-10-04,10344996,6.2165,6.0555,5.860266666666666,6.379,smaller
2,2021-10-05,9959852,6.0875,6.0119,5.83646875,6.379,smaller
3,2021-10-06,14351584,5.919499999999999,5.9631,5.8175,6.379,smaller
4,2021-10-07,13843945,5.8375,5.8918,5.805694444444445,6.379,smaller
5,2021-10-08,8380642,5.7545,5.8497,5.797526315789473,6.379,smaller
6,2021-10-11,13878695,5.859999999999999,5.8214,5.7901,6.379,smaller
7,2021-10-12,14038260,5.877000000000001,5.8083,5.787880952380952,6.379,smaller
8,2021-10-13,9502429,5.7780000000000005,5.8427999999999995,5.786568181818182,6.379,smaller
9,2021-10-14,8617716,5.772,5.8583,5.79245652173913,6.379,smaller
10,2021-10-15,14203171,5.927,5.853999999999999,5.808520833333333,6.379,smaller
11,2021-10-18,11410981,5.9375,5.8168999999999995,5.835959999999999,6.379,smaller
12,2021-10-19,12089361,5.8555,5.760600000000001,5.868846153846153,6.379,smaller
13,2021-10-20,25184218,5.5925,5.671100000000001,5.909333333333332,6.379,smaller
14,2021-10-21,11341001,5.490500000000001,5.586400000000002,5.9491428571428555,6.379,smaller
15,2021-10-22,11055850,5.4795,5.5363000000000016,5.9867857142857135,6.379,smaller
16,2021-10-25,9385141,5.514,5.547900000000001,6.007142857142855,6.379,smaller
17,2021-10-26,8879882,5.605,5.579600000000001,6.0269821428571415,6.379,smaller
18,2021-10-27,5789946,5.650499999999999,5.632400000000001,6.0549464285714265,6.379,smaller
19,2021-10-28,8244852,5.649,5.681400000000002,6.0822499999999975,6.379,smaller
20,2021-10-29,7760820,5.7435,5.7448000000000015,6.109017857142854,6.379,smaller
21,2021-11-01,8847008,5.759,5.850300000000002,6.122785714285712,6.379,smaller
22,2021-11-02,11597911,5.922000000000001,6.019400000000002,6.129071428571426,6.379,smaller
23,2021-11-03,26039827,6.178,6.208900000000002,6.140928571428569,6.379,smaller
24,2021-11-04,19538862,6.4945,6.449500000000002,6.1535892857142835,6.379,
25,2021-11-05,21920397,6.691,6.669900000000001,6.156946428571426,6.379,
26,2021-11-08,14707251,6.962,6.844800000000002,6.164642857142854,6.379,
27,2021-11-09,11292256,7.024,6.903200000000001,6.149839285714283,6.379,
