,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Einstandspreis,smaller_6_3
0,2021-10-01,36959492526,39600.681641,40980.592773625,48237.15671516667,37000,
1,2021-10-02,26405455522,41292.042969,41478.3632814,48464.269531386366,37000,
2,2021-10-03,22950548222,41525.105469,42217.9820965,48626.81504769566,37000,
3,2021-10-04,28738204927,41504.5410155,42915.386160857146,48768.65926120834,37000,
4,2021-10-05,30936829914,43469.4453125,43482.8371583125,48958.431718880005,37000,
5,2021-10-06,42435587147,45916.076172,44428.20166024999,49118.65444725,37000,
6,2021-10-07,31842075157,47099.810547,45243.17993174999,49208.73177096297,37000,
7,2021-10-08,30081144601,47454.9941405,46123.020507937494,49290.49672167858,37000,
8,2021-10-09,28081699148,47163.5976565,47002.5314943125,49421.23942632759,37000,
9,2021-10-10,34176954639,47811.869141,47620.147461125,49550.63613295001,37000,
10,2021-10-11,36904742451,48563.8300785,48104.405029437505,49661.481350951624,37000,
11,2021-10-12,35630095368,48540.6289065,48662.94970712501,49760.30444350001,37000,
12,2021-10-13,35944622965,48410.373047,49330.414062625016,49885.4154239091,37000,
13,2021-10-14,31591335859,49790.1367185,49946.10327162501,50001.52223129413,37000,
14,2021-10-15,44639142500,51568.1679685,50580.72290050001,50101.46707602858,37000,
15,2021-10-16,29527448010,52794.7089845,51277.10083012501,50192.149685472235,37000,
16,2021-10-17,25035394378,52089.1113285,52214.32348637501,50259.948057567584,37000,
17,2021-10-18,32768426725,52888.826172,53078.411865312504,50357.36132826317,37000,
18,2021-10-19,34788514253,54134.8535155,53508.8496095,50516.9814704872,37000,
19,2021-10-20,35004469846,56038.41015650001,53588.18066425,50709.33432631251,37000,
20,2021-10-21,39492048235,55323.0800785,53492.7265626875,50869.61247156099,37000,
21,2021-10-22,33007497760,53233.638671999994,53670.7089845,51005.365234511926,37000,
22,2021-10-23,23091004859,52202.8164065,53700.133545062505,51391.87653473813,37000,
23,2021-10-24,23468371588,52031.076172,53377.11962906251,51742.568638523844,37000,
24,2021-10-25,26759780838,53512.970703,52809.587158375005,52097.03650496431,37000,
25,2021-10-26,30077143516,53124.2226565,52529.45654312501,52463.40183234526,37000,
26,2021-10-27,37639952956,51550.7421875,52538.14428725001,52714.251069702404,37000,
27,2021-10-28,38739882231,51498.150391,52636.146972812516,52876.21447185717,37000,
28,2021-10-29,31880097022,53082.0351565,52735.23999037502,52987.3909506548,37000,
29,2021-10-30,27815652165,53303.140625,52782.23950212503,53055.327427595264,37000,
30,2021-10-31,27898987362,52986.837891,52870.84252943753,53169.88653286908,37000,
31,2021-11-01,31165444999,52823.8203125,53114.44873062502,53282.656064107185,37000,
32,2021-11-02,32598888626,53888.966797,53347.93505875002,53342.11156075004,37000,
33,2021-11-03,31101912716,53833.046875,53300.26684581252,53387.12239594051,37000,
34,2021-11-04,28225688676,53499.591797,53382.58081068752,53440.995117297665,37000,
35,2021-11-05,26494469926,53366.041016,53832.04443368752,53493.05306001195,37000,
36,2021-11-06,25187135416,52700.689453,54505.45385756252,53457.100307047665,37000,
37,2021-11-07,21374622401,53961.652344,54929.42529312502,53346.36462996433,37000,
38,2021-11-08,35488274443,56582.546875,55271.69799818752,53274.677501988146,37000,
39,2021-11-09,36534106723,58211.0957035,55563.518554875016,53236.139741571475,37000,
40,2021-11-10,42427739382,57280.7382815,55895.402343875016,53155.54827022624,37000,
41,2021-11-11,31343096595,56571.2285155,56359.41064468751,53036.675688380994,37000,
42,2021-11-12,31532134995,55834.1562505,56725.689697375004,52908.69294097624,37000,
43,2021-11-13,26629356281,56021.111328,56403.510498187505,52799.11779216671,37000,
44,2021-11-14,21957336627,56412.755859499994,55716.94091806251,52574.47540004767,37000,
45,2021-11-15,26883766644,56891.8847655,55028.00146493751,52362.87239595243,37000,
46,2021-11-16,41382286062,54005.1132815,54245.138672000016,52124.13439372623,37000,
47,2021-11-17,34616617571,52718.5390625,53762.75415043751,51939.05571067861,37000,
48,2021-11-18,36405348273,51769.2226565,53328.63891606251,51764.573800333375,37000,
49,2021-11-19,34289056107,50308.326172,52659.664550812515,51570.837193178624,37000,
50,2021-11-20,27132088068,51975.080078,51852.064453187515,51328.817475916716,37000,
51,2021-11-21,23168441582,52548.189453,51435.553711000015,51073.70163700006,37000,
52,2021-11-22,31166066807,51060.9609375,51342.807617250015,50858.26785723815,37000,
53,2021-11-23,33331102310,50431.0839845,51128.923828187515,50612.77613477387,37000,
54,2021-11-24,32700833644,50673.027344,50858.359375062515,50331.58082227387,37000,
55,2021-11-25,30585799415,51976.5703125,50496.255859500016,50065.24655888101,37000,
56,2021-11-26,36935280493,50058.152344,50336.51220718752,49811.64369429767,37000,
57,2021-11-27,26997217218,48143.810547,50297.64355487502,49526.25404585719,37000,
58,2021-11-28,24898768129,49078.2519535,50374.47827168752,49255.54292235719,37000,
59,2021-11-29,28665350260,51270.2402345,50283.82543962502,48972.612676821474,37000,
60,2021-11-30,32399262570,50750.011719,49865.689453312516,48606.229492297665,37000,
61,2021-12-01,32562962375,51045.761719,48954.399902500016,48233.31129102385,37000,
62,2021-12-02,28639661363,49947.8046875,48329.39233412502,47902.90471550004,37000,
63,2021-12-03,35166512180,48631.482422,47630.357666125026,47600.10277167861,37000,
64,2021-12-04,54256406273,42767.8359375,46890.44238287503,47346.64862360719,37000,
65,2021-12-05,32906421504,43143.75,46074.503662125026,47079.097516833375,37000,
66,2021-12-06,33417159033,43485.9746095,45113.93505856253,46795.466471452426,37000,
67,2021-12-07,29873995242,45350.9179685,44235.11035156253,46518.10867755957,37000,
68,2021-12-08,25104855062,44222.501953,43479.70947262502,46263.89746103576,37000,
69,2021-12-09,26212546684,43361.2128905,43626.05737306252,45999.77074042862,37000,
70,2021-12-10,27358744220,42917.2070315,43547.23461918752,45754.12825530957,37000,
71,2021-12-11,22776228252,42588.2753905,43371.33325200001,45544.97921326195,37000,
72,2021-12-12,19396796672,43938.619141,43033.34448250001,45292.55822183337,37000,
73,2021-12-13,28507891159,42513.167969,42861.56567393751,45033.00776611909,37000,
74,2021-12-14,30769104303,42078.763672,42613.87353531251,44798.523484130994,37000,
75,2021-12-15,32364951353,42647.0078125,42415.575439625005,44580.05803584528,37000,
76,2021-12-16,24058853189,42848.2714845,42351.86376975001,44317.918015380994,37000,
77,2021-12-17,29272501838,41379.6757815,42008.84301775001,43990.04757266671,37000,
78,2021-12-18,23219129040,41330.822266,42013.26342787501,43684.1332311429,37000,
79,2021-12-19,22372971358,42078.5820315,42178.875732562505,43406.542271321465,37000,
80,2021-12-20,27454692665,41194.453125,42329.693115375005,43118.56970807147,37000,
81,2021-12-21,23969764820,42548.53125,42622.29443375001,42760.472470345274,37000,
82,2021-12-22,21584876672,43403.6621095,43047.83056650001,42437.59416863099,37000,
83,2021-12-23,24925551041,43853.546875,43444.00927743751,42126.52013589289,37000,
84,2021-12-24,21521666976,45189.0820315,43839.54370125001,41837.61267682147,37000,
85,2021-12-25,16807813795,44783.9648435,44106.26733406251,41568.107235976226,37000,
86,2021-12-26,18514119911,44500.2519535,43990.85302743751,41450.805896690516,37000,
87,2021-12-27,21469713513,45242.857422,43746.92504893751,41321.781436130994,37000,
88,2021-12-28,29549879026,43328.2421875,43455.73999031251,41171.981910464325,37000,
89,2021-12-29,26452243764,41625.216797,42978.77954112501,40972.81026798814,37000,
90,2021-12-30,23569055197,41452.2382815,42586.66772481251,40798.89587997623,37000,
91,2021-12-31,32507766322,41524.066406,42175.713867375016,40649.850818607185,37000,
92,2022-01-01,21613129995,41373.398438,41677.29858418752,40435.997116964325,37000,
93,2022-01-02,24577311974,41647.070313,41219.16162131252,40167.43773266671,37000,
94,2022-01-03,29261479130,41212.621094,40791.76098650003,39868.621419416704,37000,
95,2022-01-04,37661970660,41255.5351565,40261.44995131253,39597.14778660719,37000,
96,2022-01-05,32580817996,39663.1464845,39631.56542987502,39366.77701838099,37000,
97,2022-01-06,26738382071,38206.0117185,39082.81616225002,39146.29822373814,37000,
98,2022-01-07,74103034014,37209.75,38405.70190437502,38903.53527265481,37000,
99,2022-01-08,24704118680,36484.9902345,37902.76464850002,38710.93554702385,37000,
100,2022-01-09,18755603984,36983.404297,37493.40429693752,38538.17313072623,37000,
101,2022-01-10,28335773331,36230.15625,37262.22241218752,38345.00065117861,37000,
102,2022-01-11,23163434090,37189.123047,37150.50268568752,38165.67294470242,37000,
103,2022-01-12,29282229408,37980.652344,37229.43139662502,37969.79780520242,37000,
104,2022-01-13,41626348816,37813.6914065,37384.39794937502,37734.42889709528,37000,
105,2022-01-14,20654206193,37312.2539065,37410.77172868753,37460.96528566671,37000,
106,2022-01-15,16093613422,37841.1796875,37505.21582050003,37202.54615433337,37000,
107,2022-01-16,15695843306,37724.7226565,37471.337646687534,36998.097261107185,37000,
108,2022-01-17,19010103713,37194.3945315,37361.421142812535,36809.10274845242,37000,
109,2022-01-18,19787042903,36985.7089845,36876.628662312534,36627.98663051194,37000,
110,2022-01-19,20356996522,36918.0976565,36126.194580250034,36514.89060186908,37000,
111,2022-01-20,18015822473,37101.320313,35319.58886737503,36440.37604642861,37000,
112,2022-01-21,37913565556,33935.3515625,34492.90795918753,36380.78801628575,37000,
113,2022-01-22,35006840731,31308.78125,33894.00756856253,36291.7077521548,37000,
114,2022-01-23,22941168169,31388.3339845,33444.15625018753,36196.52490245242,37000,
115,2022-01-24,36963489637,31111.275391000003,32910.92248550003,36092.71654120242,37000,
116,2022-01-25,23381125046,32403.191406500002,32434.56835950003,35998.81880125004,37000,
117,2022-01-26,27866393735,33386.8984375,32451.99951187503,35931.92250288099,37000,
118,2022-01-27,22469772280,32652.227539,32784.069091937534,35909.95003264289,37000,
119,2022-01-28,19946207246,33290.487305,33068.363525500026,35883.813081392895,37000,
120,2022-01-29,15421617548,34074.8007815,33469.676025500026,35843.43371011909,37000,
121,2022-01-30,13130518444,33965.3378905,33609.048095812526,35817.30405982147,37000,
122,2022-01-31,18464920256,33662.689453,33481.695190500024,35759.538202309566,37000,
123,2022-02-01,17997198255,34321.775391,33692.10156256253,35698.44145286908,37000,
124,2022-02-02,16952016995,33518.167969,34055.429565437524,35600.575869714325,37000,
125,2022-02-03,16257683635,32368.075194999998,34366.38977050002,35498.688406904796,37000,
126,2022-02-04,25689419035,34335.4785155,34825.22009275002,35377.456450047655,37000,
127,2022-02-05,17165326511,36197.111328,35439.66003418753,35315.523786357175,37000,
128,2022-02-06,14092260820,36562.482422,35961.38879387503,35245.65827296432,37000,
129,2022-02-07,25032982080,37635.9804685,36640.31042468752,35165.82917139289,37000,
130,2022-02-08,28964685523,38578.2089845,37317.137939375025,35144.02843664289,37000,
131,2022-02-09,20353471281,38495.6054685,37697.16796875003,35197.58419371432,37000,
132,2022-02-10,28166430696,38949.5410155,37833.41894531253,35268.4391044286,37000,
133,2022-02-11,23746750515,37782.6953125,37921.72314456252,35308.08233358337,37000,
134,2022-02-12,15992873039,37375.7187505,38022.96191412502,35379.6620396786,37000,
135,2022-02-13,12971654871,37287.1191405,38043.223632875015,35487.497326130986,37000,
136,2022-02-14,18421695035,37268.916016,37869.80542006251,35588.119954488124,37000,
137,2022-02-15,20010215311,38445.890625,37440.339843937516,35688.23397977384,37000,
138,2022-02-16,17403191304,38740.3027345,37140.94604512502,35760.024018833356,37000,
139,2022-02-17,23097378235,37108.259766,36788.63598650002,35845.562569809554,37000,
140,2022-02-18,20588144724,35513.8164065,36335.75769062502,35938.46958711908,37000,
141,2022-02-19,12132567474,35387.544922,35811.989257937516,35994.089727559556,37000,
142,2022-02-20,16206118505,34557.2382815,35218.925293062515,36034.47723685717,37000,
143,2022-02-21,25890903370,33664.0927735,34466.63110356251,36064.52750657146,37000,
144,2022-02-22,22503160806,33078.7685545,34166.98388675001,36106.083728678605,37000,
145,2022-02-23,19325527663,33701.378906,34091.11035156251,36136.82442808336,37000,
146,2022-02-24,41447823409,32721.949218499998,33964.15478512501,36212.25997495241,37000,
147,2022-02-25,23545866817,34711.0820315,34179.34545893751,36325.620768309556,37000,
